Well,Total.Motility,Worm.Area,Normalized.Motility
A01,4258541.998826772,588,7242.418365351653
A02,5324590.78727139,889,5989.415958685478
A03,3631204.9439860755,292,12435.633369815327
A04,2575777.830394003,1373,1876.0217264340881
A05,2993741.5145443594,1146,2612.3398905273643
A06,1510801.998014125,422,3580.099521360486
B01,2154533.6307401164,999,2156.6903210611777
B02,2329398.8922461676,1038,2244.122246865287
B03,1973246.432055932,169,11676.014390863504
B04,2164721.5280332356,563,3844.9760711069903
B05,2095802.2411028552,2142,978.4324188155254
B06,1399832.4694933707,502,2788.510895405121
C01,1825405.565691309,663,2753.2512303036337
C02,1713543.1829272732,1231,1391.9928374713836
C03,1244624.3940657855,716,1738.3022263488624
C04,1177409.879512733,578,2037.0413140358703
C05,1014872.0154439972,2602,390.0353633528045
C06,2955856.232165985,1808,1634.87623460508
D01,2156031.5302467737,424,5084.980024166919
D02,1838885.0185662555,1118,1644.7987643705326
D03,2488799.40759181,969,2568.420441271218
D04,1988661.9708331248,1413,1407.404084099876
D05,2239453.43510782,896,2499.389994539978
D06,1808544.7248787144,421,4295.8307004245
