Well,Total.Motility,Worm.Area,Normalized.Motility
A01,1868108.3119417995,2455,760.9402492634621
A02,2195323.0571795963,1223,1795.0311178901034
A03,1751782.2788877063,856,2046.474624868816
A04,803425.5660602646,452,1777.4901903988155
A05,1302192.771574319,1236,1053.5540223093196
A06,1083109.4897655966,1297,835.0882727568207
B01,1378232.1898553,1185,1163.0651391183965
B02,1036498.0689178711,1123,922.9724567389769
B03,944624.5141210835,1858,508.40931868734316
B04,1320144.2720103764,2486,531.0314851208273
B05,793910.8429595619,1231,644.9316352230397
B06,952232.9138402572,1236,770.4149788351596
C01,1155732.1976567935,2708,426.7844156782842
C02,1084820.2109146041,1360,797.6619197901501
C03,847925.6439531783,377,2249.139639133099
C04,693504.0184776584,365,1900.0110095278312
C05,618692.6671314216,1258,491.8065716465991
C06,1153239.4367463624,94,12268.504646237898
D01,2235828.523684339,1253,1784.3803062125612
D02,795772.0964182853,982,810.3585503241194
D03,1220762.2264429266,1620,753.5569299030411
D04,1049725.1797810995,138,7606.7042013123155
D05,1807015.985043438,1056,1711.1893797759828
D06,1208914.3597578637,574,2106.122577975372
