Well,Total.Motility,Worm.Area,Normalized.Motility
A01,5161173.147622176,918,5622.192971265988
A02,4461607.113234734,1237,3606.7963728655895
A03,4052739.58104854,765,5297.698798756262
A04,1820353.3162533315,520,3500.67945433333
A05,1466774.0536506956,1394,1052.2052034796955
A06,1083189.8426394602,329,3292.37034236918
B01,2160144.3523137383,1210,1785.2432663749903
B02,2434906.2186085046,1298,1875.8907693439944
B03,2525741.0852972586,1772,1425.3617862851347
B04,2433993.7854965874,1408,1728.6887681083717
B05,1612597.103481526,1352,1192.7493368946198
B06,1058450.949721664,416,2544.353244523231
C01,1905705.4675193354,1443,1320.6552096461091
C02,1740488.085252358,1544,1127.2591225727708
C03,886620.606193461,408,2173.0897210624044
C04,809896.4405998545,137,5911.652851093828
C05,824184.1107280919,967,852.3103523558344
C06,4429446.528690348,976,4538.367344969619
D01,2465934.7343022665,1411,1747.650414105079
D02,1747511.9664867236,813,2149.461213390804
D03,2709224.9728617454,1715,1579.7230162459157
D04,2330082.7491821474,1369,1702.0326874960901
D05,2275785.897801418,863,2637.063612747877
D06,1845550.272671237,699,2640.2722069688652
