Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,697657.0351719466,2154,323.88905996840606
D0005,524525.0401886562,582,901.2457735200278
D0001,272082.62807159603,1436,189.4725822225599
D0002,376854.7746021127,2009,187.58326261926965
D0003,889833.8270855495,1612,552.0060962069166
C0005,512868.4084661035,332,1544.7843628497094
C0004,413509.7695177359,1832,225.7149396930873
B0001,277204.31442571507,1395,198.7127701976452
B0003,613779.5403642524,1778,345.2078404748326
B0002,398981.94558984693,1541,258.91106138212
C0003,304877.15420213,1256,242.73658774054934
C0002,244347.47527289105,2542,96.12410514275808
B0005,1068248.4780005596,585,1826.0657743599309
C0001,266213.83389638935,1706,156.04562362039235
B0004,1105200.0895497352,1912,578.0335196389829
A0003,989374.1689631706,2134,463.62425912051106
A0002,1514736.2436543494,284,5333.578322726582
A0001,485413.1746971426,382,1270.7151170082268
A0005,1908717.7926741205,986,1935.8192623469781
A0004,1852065.1740455732,1485,1247.1819353842243
