Well,Total.Motility,Worm.Area,Normalized.Motility
A01,555153.9211882431,212,2618.650571642656
A02,869791.4402216275,230,3781.701914007076
A03,246592.00104288018,1066,231.32457883947484
A04,236605.19071605045,3099,76.34888374186849
A05,415679.2194525221,212,1960.7510351534063
A06,312388.35002547235,1684,185.50377079897407
B01,711344.1718782994,797,892.5271918171887
B02,492983.89995106397,864,570.5832175359536
B03,547194.6898676081,622,879.7342280829713
B04,290700.53590771626,2434,119.43325222174045
B05,535690.3671323368,537,997.5612050881505
B06,796915.4484919228,379,2102.6792836198492
C01,487457.2867418635,1236,394.38291807594135
C02,541884.2410214512,736,736.2557622574066
C03,422045.195005082,1379,306.05162799498333
C04,690483.0579224431,680,1015.4162616506517
C05,374932.42068693065,1009,371.5881275390789
C06,877996.3225478653,452,1942.4697401501446
D01,573608.1077791357,287,1998.6345218785216
D02,409821.0784277496,842,486.72337105433445
D03,262592.3197545511,584,449.64438314135464
D04,488540.9628917161,486,1005.2283187072347
D05,410774.20910120517,1217,337.53016360000424
D06,355641.731586374,1116,318.6753867261416
