well,row,col,172_40,172_20,172_10,172_5,354_40,354_20,354_5,354_10
F12,F,12,39284814.1,19085966.41,9074459.06,4159106.037,272303848.1,134378537.5,28985852.68,63159588.7
G01,G,1,72442432.3,36331172.84,16626264.9,7539028.813,52587225.43,26879892.41,5931370.208,13507350.4
G02,G,2,174096560,84230081.22,38053857,16167884.5,433487430.3,212024989.8,45210107.52,101505418
G03,G,3,194192022,96911297.04,48832055.8,22622043.27,284540679.2,135492875.9,28825817.62,64331102.8
G04,G,4,172558403,84977900.7,41858274.4,18800734.84,344592152.2,176635549,39285680.58,85831294.9
G05,G,5,149562554,71374595.82,33695929.6,15713010.05,275845273.6,139388185,29314401.52,63449323.7
G06,G,6,101493922,49011927.61,23501661.3,10884234.91,216066869.4,103522133,21038066.14,47490682
G07,G,7,18162873.7,9257449.915,4405386.54,1837908.665,201023581.4,97040689.93,17902765.54,43219965
G08,G,8,89169114.6,43568963.58,20565706.3,8849429.103,211541646.2,100805094.5,21757136.86,49705486.6
G09,G,9,108411405,52568652.63,25115014.2,11115975.04,162316702.3,79127781.3,16474140.91,37490522.4
G10,G,10,110266373,52838287.34,24686151.2,10877405.28,187570178.7,90351745.49,18428833.72,43381359.8
G11,G,11,74889924.5,35918362.68,17111735.7,7596406.438,121990734.4,59122010.92,12984325.36,28974292.4
G12,G,12,35965931,17720216.37,8525930.82,3812761.963,147073801.7,69497594.59,12931649.88,32351475.8
H01,H,1,64263026.4,31601426.87,15512878.4,6975229.599,35874531.69,17661783.39,3720132.339,8423431
H02,H,2,90880087.3,43843098.83,19770753.1,9304226.726,400469265.1,192550707,39646311.57,93880724.5
H03,H,3,118309436,58224985.2,27332042,11700126.83,224108925.4,112939265.3,26811755.1,55787702.3
H04,H,4,53385035,25843324.8,12168155.7,5521249.655,226991062.2,108397289.9,22459020.05,50607571.4
H05,H,5,105573132,52286838.46,24997168.7,11151958.6,228263432.2,112757152.6,23833323.78,53302793.3
H06,H,6,87351533.8,42169190.08,20233450.9,9162777.299,171271790,84979547.92,16369475.69,38460909.6
H07,H,7,72865087.9,35312381.41,17162785.3,6931503.182,123094234.5,60723190.1,12666332.82,27100802.8
H08,H,8,92023358.3,44575132.66,21805788.3,9831944.168,105049319.4,48115645.81,10202532.52,22994373.1
H09,H,9,16031797.6,7855584.331,3439195,1585029.784,68204446.09,34441419.8,7336450.692,16723529.8
H10,H,10,70608131.9,35063847.97,16509341,7497524.728,77680006.93,37866089.54,7647680.096,17253487.5
H11,H,11,78665160.5,39460538.82,18689197.4,8281290.468,58840488.69,29210317.76,5617369.203,13904201.6
H12,H,12,36230495.1,17695294.31,8421510.9,3823412.294,121154987.7,59480848.45,11528986.35,25598593.5
