Well,Total.Motility,Worm.Area,Normalized.Motility
A01,3157276.213271614,1853,1703.8727540591549
A02,1598603.26056828,626,2553.679329981278
A03,2023674.684000098,968,2090.5730206612584
A04,759589.3043420587,1495,508.0864911987015
A05,1139275.2829544144,177,6436.5835195164655
A06,1478767.3821661444,831,1779.503468310643
B01,990709.3103196201,1611,614.9654316074613
B02,1004752.9628644986,296,3394.4356853530358
B03,1295755.3940625999,1607,806.3194735921592
B04,1365342.2211896412,1347,1013.6170907124285
B05,1186773.1215205642,2065,574.708533424002
B06,1469246.655904889,636,2310.1362514227817
C01,553820.2333837831,1611,343.77419825188275
C02,510386.6194524191,1742,292.98887454214645
C03,654318.963042004,1273,513.9976143299325
C04,995675.688680844,1251,795.9038278823693
C05,507902.6243285778,1983,256.12840359484505
C06,3719593.609651966,694,5359.644970680067
D01,1355454.11628351,1049,1292.1392910233653
D02,1006969.9386757403,1239,812.7279569618565
D03,1592445.2844355514,1573,1012.3619100035291
D04,1193027.3326091825,1576,756.997038457603
D05,1386124.8781835733,742,1868.0928277406647
D06,2534880.2253035237,1138,2227.4870169626747
