Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,2320535.929659285,858,2704.5873306052276
D0005,1225020.9176077035,180,6805.6717644872415
D0001,1138051.4953805998,1770,642.9669465427118
D0002,2533285.731018038,1483,1708.2169460674565
D0003,520975.5149588873,1025,508.2687950818413
C0005,1074011.14445662,107,10037.487331370281
C0004,1113190.9730089155,2059,540.6464171971421
B0001,695292.2190890716,1138,610.9773454209768
B0003,1289950.280781531,504,2559.4251602808154
B0002,968447.7227323267,660,1467.3450344429193
C0003,215164.07906973793,3463,62.13227810272536
C0002,1116508.6673002457,2072,538.8555344113155
B0005,1311610.7021305629,521,2517.4869522659556
C0001,938238.0713883903,1285,730.146359057113
B0004,1369880.6572767403,1269,1079.4961838272186
A0003,2477606.0704066013,680,3643.538338833237
A0002,1668295.7358318486,1428,1168.274324812219
A0001,1981608.4565201134,507,3908.497941854267
A0005,436174.347664403,1103,395.44365155430916
A0004,2150109.0433559166,665,3233.2466817382206
