Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,791486.2412648407,1962,403.4078701655661
D0005,1078006.9198517955,888,1213.9717565898598
D0001,350734.70195629034,1020,343.85755093753954
D0002,507551.3094159591,1785,284.3424702610415
D0003,879518.02748047,1272,691.4449901576022
C0005,732340.3571684356,139,5268.63566308227
C0004,423571.1838877831,1841,230.0766886951565
B0001,231494.60528251718,1590,145.59409137265231
B0003,536067.4009983953,2089,256.61436141617776
B0002,424449.38871249655,1035,410.09602774154257
C0003,325628.3483689631,1722,189.0989247206522
C0002,253652.56892001745,2573,98.5824208783589
B0005,799309.0298967089,1320,605.5371438611431
C0001,411759.78781005373,1543,266.85663500327524
B0004,1000481.3184988108,1826,547.9087176882863
A0003,1097248.0149272832,1345,815.7977806150805
A0002,1548357.4258178268,571,2711.659239610905
A0001,744623.357330246,1204,618.4579379819319
A0005,1291059.2744451507,696,1854.9702219039523
A0004,981074.2026031426,1562,628.0884779789645
