Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,2228783.745407933,1628,1369.0317846486075
D0005,1352717.6807178298,604,2239.5988091354798
D0001,1333536.2613001436,773,1725.14393441157
D0002,1682388.5231875351,1085,1550.588500633673
D0003,947414.3243283574,1282,739.0127334854582
C0005,846186.7127489323,99,8547.340532817498
C0004,1048685.4860589134,1900,551.9397295046913
B0001,650270.1750213949,1929,337.1022161852747
B0003,1676789.4138116904,804,2085.5589724026
B0002,745830.7544187418,809,921.9168781443038
C0003,234758.59848262445,2084,112.64807988609618
C0002,925388.3659400784,1996,463.6214258216826
B0005,1693781.3654871173,1043,1623.9514530077827
C0001,1014691.2479442905,2239,453.1894809934303
B0004,2196283.1773458854,1125,1952.2517131963425
A0003,2184469.788540924,147,14860.338697557307
A0002,1448310.0308648103,908,1595.055100071377
A0001,1566574.6844290262,1480,1058.4964083979908
A0005,1909816.326064775,1267,1507.3530592460734
