Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,2227734.152818972,1219,1827.509559326474
D0005,1260563.2715659568,157,8029.0654239869855
D0001,3208052.241591162,1071,2995.380244249451
D0002,3582262.4122775383,1129,3172.951649492948
D0003,447974.7138641321,1000,447.9747138641321
C0005,1310882.3738476625,158,8296.723885111787
C0004,1810873.2834565025,1867,969.9374844437614
B0001,466582.63769851415,1735,268.92371048905716
B0003,2003951.1989103062,895,2239.051618894197
B0002,647154.779447729,409,1582.2855243220758
C0003,267642.7403457795,1408,190.08717354103658
C0002,2507774.452557358,1326,1891.232618821537
B0005,1780378.0417008228,1383,1287.330471222576
C0001,4620373.566556298,1638,2820.740883123503
B0004,2931792.4989293832,1238,2368.168415936497
A0003,2383945.7252014875,948,2514.7106805922863
A0002,1008222.2408888447,982,1026.7028929621636
A0001,2275902.498756691,609,3737.114119469115
A0005,466791.4598906967,911,512.3945772675046
A0004,2171602.557602256,1297,1674.3273381667357
