Well,Total.Motility,Worm.Area,Normalized.Motility
A01,387941.1581243217,487,796.5937538487099
A02,2642211.2018173486,1172,2254.446417932891
A03,650063.0405633029,221,2941.461722005896
A04,1883965.2320619905,1070,1760.715170151393
A05,1647822.8755026597,1086,1517.3322978845854
A06,1097401.4356534763,439,2499.7754798484652
B01,1099719.0595232272,986,1115.3337317679789
B02,1639537.625739915,443,3700.987868487393
B03,1454555.4520460158,1167,1246.4057001251206
B04,2724035.8820374375,2116,1287.3515510573902
B05,2226139.9381263033,1544,1441.8004780610772
B06,6868552.489950439,484,14191.224152790162
C01,1458154.7412952317,657,2219.4136092773697
C02,2287865.882994915,1080,2118.3943361064025
C03,1374972.4029491926,1656,830.2973447760825
C04,3681939.7176391915,1591,2314.2298665236904
C05,1866300.6360096452,772,2417.487870478815
C06,4690569.886064273,796,5892.67573626165
D01,7911347.311224908,1956,4044.6560895832863
D02,1769381.88270505,2350,752.9284607255532
D03,2304260.0655218265,1771,1301.1067563646677
D04,1731324.1795077636,1697,1020.2263874530133
D05,3892298.8611083645,1696,2294.987536030875
D06,5515859.309883408,853,6466.423575478791
