Well,Total.Motility,Worm.Area,Normalized.Motility
A01,386949.23614988354,2633,146.96135060762762
A02,3588525.8306575636,1231,2915.130650412318
A03,353705.00874477054,193,1832.6684390920755
A04,1985956.7997341906,339,5858.279645233601
A05,1734571.5923475302,1461,1187.2495498614169
A06,733930.8530350607,348,2108.996704123738
B01,1699618.9922162879,306,5554.310432079372
B02,1194572.2715893448,1867,639.8351749273405
B03,2010887.7170893375,1274,1578.4048014829964
B04,1935783.8372669339,1695,1142.05536121943
B05,2393169.5434295256,1704,1404.4422203224915
B06,5292517.936285478,982,5389.529466685823
C01,1532094.3180242907,1639,934.7738365004824
C02,2462012.9374636947,1180,2086.4516419183856
C03,1501241.7049968366,2137,702.4996279816737
C04,3711941.812680464,1437,2583.118867557734
C05,3020348.433967025,1531,1972.7945355761103
C06,3875225.1106174947,1178,3289.664779811116
D01,7278991.751364647,1619,4495.980081139374
D02,628488.2494575292,633,992.8724320024157
D03,2808015.284456844,897,3130.45182213695
D04,3381286.1988401427,1922,1759.2540056400326
D05,4881390.435476814,1408,3466.896616105692
D06,2415608.9443651773,1013,2384.6090270139953
