Well,Total.Motility,Worm.Area,Normalized.Motility
A01,584252.3492823313,1244,469.65622932663285
A02,2377472.2300780257,1201,1979.5772107227524
A03,544635.7040584935,570,955.5012351903395
A04,2100797.362872995,285,7371.218817098228
A05,1337426.1243826149,1513,883.9564602661037
A06,1240191.8388345444,1046,1185.65185357031
B01,1570316.9162387587,473,3319.9089138240142
B02,1282501.3038876648,601,2133.9455971508564
B03,1612187.043760367,1773,909.2989530515324
B04,1994658.351096555,2077,960.3554892135555
B06,6317231.7173655005,1114,5670.764557778726
C01,1331288.529483348,1396,953.645078426467
C02,1980840.3751131715,1729,1145.6566657681733
C03,1217651.247486715,1689,720.9302827037981
C04,3883271.0516868723,1376,2822.1446596561573
C06,3983419.8299147366,209,19059.425023515487
D01,8585347.188634481,1445,5941.416739539433
D02,1923136.1162952604,2089,920.60130028495
D03,1640383.1457352373,991,1655.2806717812687
D04,1809200.950671928,1667,1085.3035097012166
D06,5364409.241019314,1276,4204.082477287864
