Well,Total.Motility,Worm.Area,Normalized.Motility
A01,791647.6935039172,160,4947.798084399483
A02,1036548.2983458135,1548,669.6048438926445
A03,565571.1559986095,1270,445.3316188965429
A04,433197.9385335521,245,1768.1548511573556
A05,836599.6052183761,1809,462.46523229318746
A06,583454.4544899613,1927,302.77864789307796
B01,977219.1725178079,369,2648.2904404276637
B02,576889.7951534627,422,1367.0374292736083
B03,653172.2103738968,1860,351.16785503972943
B04,373636.20819858916,659,566.9745192694828
B05,769978.470204144,2276,338.30337003697014
B06,514721.009468728,2330,220.9103044930163
C01,779047.9780012455,345,2258.1100811630304
C02,542032.3426549513,981,552.530420647249
C03,401032.6339295879,889,451.10532500516075
C04,462790.68717223435,1934,239.29197888946968
C05,718847.9127901143,1026,700.6314939474798
C06,1028728.7072804865,1885,545.7446722973403
D01,533351.4748772279,459,1161.9857840462482
D02,767923.7519485177,767,1001.2043702066724
D03,816256.110700779,1649,495.0006735602056
D04,429060.36007660447,312,1375.1934617839886
D05,836311.8442575396,1660,503.8023158177949
D06,1123921.8249801383,2556,439.7190238576441
