Well,Total.Motility,Worm.Area,Normalized.Motility
A01,1400317.8549497717,2138,654.9662558230924
A02,1668404.2823841095,657,2539.4281314826626
A03,1124778.4965261563,776,1449.4568254203045
A04,676173.231756699,161,4199.8337376192485
A05,619579.484809017,1622,381.98488582553455
A06,718104.670301494,1548,463.89190587951805
B01,1148429.1860978599,2184,525.837539422097
B02,890622.3486341982,1490,597.7331198887236
B03,654111.3743785917,2402,272.3194730968325
B04,548609.1940503307,1632,336.157594393585
B05,636020.2705982709,1256,506.38556576295457
B06,1005710.3804894048,2516,399.72590639483496
C01,1035008.109670773,1567,660.5029417171494
C02,724158.457503746,1235,586.3631234848147
C03,381552.9624443416,1796,212.4459701805911
C04,420085.33311021124,3206,131.0309835028731
C05,787973.3707816399,2242,351.46002265015164
C06,1460985.9830048727,1783,819.397634887758
D01,1137490.2402927743,1519,748.8415011802332
D02,646773.705078878,857,754.6951051095425
D03,563691.3684870376,847,665.5151930189346
D04,747354.8982533492,323,2313.792254654332
D05,720850.5957644756,1375,524.2549787378005
D06,785232.0577728372,2012,390.27438259087336
