Well,Total.Motility,Worm.Area,Normalized.Motility
A01,745655.7048498007,2003,372.26944825252156
A02,737938.4383814515,1392,530.128188492422
A03,424176.9964465726,1397,303.63421363391024
A04,946363.0838333792,1193,793.263272282799
A05,261226.01116357866,2196,118.95537848978992
A06,340680.55060599814,2302,147.99328870807912
B01,835178.0074658005,345,2420.805818741451
B02,481099.8271309921,2209,217.79077733408423
B03,237146.36328100198,2086,113.6847379103557
B04,359090.11794559547,1926,186.4434672614722
B05,490114.1680132107,816,600.6301078593268
B06,303774.0604216392,1453,209.06680001489275
C01,1071387.8296438812,2041,524.9327925741701
C02,346908.7180879899,1690,205.2714308212958
C03,312950.5349165665,1712,182.79820964752716
C04,210692.395149361,1474,142.93920973498032
C05,343345.3651818819,1351,254.14164706282892
C06,534334.0854947896,1634,327.0098442440573
D01,949684.0329543264,1988,477.7082660736048
D02,562099.1050762383,501,1121.9543015493778
D03,463459.58144283463,1081,428.7322677547036
D04,706943.9963453221,67,10551.402930527196
D05,462317.63413370214,1071,431.6691261752588
D06,475428.714020927,1904,249.69995484292383
