Well,Total.Motility,Worm.Area,Normalized.Motility
A01,408304.28625025775,1532,266.5171581268001
A02,728335.0093481493,331,2200.407883227037
A03,764533.8713568271,1064,718.5468715759653
A04,630959.4539076339,180,3505.330299486855
A05,236919.40345422947,2393,99.00518322366463
A06,850681.8869919686,485,1753.9832721483888
B01,457994.5018308408,1065,430.041785756658
B02,386844.35842747334,1799,215.03299523483787
B03,340545.6083421967,665,512.098659161198
B04,322027.9366334163,2175,148.05882144065117
B05,538204.096383345,1709,314.92340338405205
B06,458226.4867046218,2840,161.34735447345838
C01,404305.4831389413,1475,274.1054122975873
C02,330228.9397471602,746,442.6661390712603
C03,185067.07593894162,1699,108.92706058795858
C04,303109.4273828119,1497,202.47790740334796
C05,430434.5413636911,1738,247.66084083066232
C06,1588150.4289563391,679,2338.9549763716336
D01,370914.6393511547,1290,287.5307281791897
D02,571532.0100638318,851,671.6004818611419
D03,437409.96677854366,1009,433.5083912572286
D04,821980.3821122347,215,3823.1645679638823
D05,436853.15350181237,2700,161.7974642599305
D06,1026922.3692402282,188,5462.353027873554
