Well,Total.Motility,Worm.Area,Normalized.Motility
A01,279261.2085541931,1679,166.32591337355157
A02,488487.53765570174,317,1540.970150333444
A03,248023.33781493618,1603,154.72447773857527
A04,272639.37035526347,1506,181.03543848291068
A05,367640.83431910863,1595,230.4958208897233
A06,370427.54110528476,1728,214.36778999148424
B01,300759.6510890377,1679,179.13022697381638
B02,328054.9543662807,1830,179.26500238594573
B03,282790.55652443,1531,184.7097038043305
B04,287602.1775406558,2982,96.44606892711461
B05,397162.8669715212,1045,380.06015978135997
B06,423207.2025216244,594,712.4700379151926
C01,307217.5919172067,1382,222.2992705623782
C02,311500.5670282029,1473,211.47356892613908
C03,297551.63272008556,963,308.98404228461635
C04,436600.5834537708,1138,383.6560487291483
C05,348073.7661474004,1326,262.4990694927605
C06,424210.6158391328,1990,213.1711637382577
D01,320429.155259615,1530,209.4308204311209
D02,246316.79933569362,1529,161.0966640521214
D03,252079.900132948,1630,154.6502454803362
D04,295210.55056162016,1569,188.15203987356287
D05,318973.23212187964,789,404.27532588324414
D06,485825.79287251685,3134,155.0178024481547
