Well,Total.Motility,Worm.Area,Normalized.Motility
A01,728509.3592603992,804,906.1061682343275
A02,1031807.2656504612,185,5577.336571083574
A03,443953.06086478697,186,2386.844413251543
A04,244544.42462074774,514,475.7673630753847
A05,457493.25792372826,269,1700.7184309432278
A06,625782.1445047703,319,1961.699512554139
B01,487760.9001285196,434,1123.8730417707825
B02,679690.695491659,367,1852.0182438464822
B03,604890.4029231651,872,693.6816547284004
B04,259121.26934497865,2982,86.89512721159579
B05,447008.7732743595,115,3887.032811081387
B06,664070.9878559015,126,5270.404665523028
C01,496195.0615999278,530,936.2170973583543
C02,445335.1830376507,245,1817.6946246434723
C03,389826.5783723374,137,2845.4494771703457
C04,641859.5616685564,188,3414.1466046199807
C05,304885.8487678505,1630,187.04653298641134
C06,388110.195115477,1818,213.48195550906325
D01,679200.2724038395,333,2039.6404576691878
D02,353249.62341592874,537,657.8205277764037
D03,878111.4003345006,1890,464.6092065261908
D04,344886.9627068641,312,1105.4069317527697
D05,523691.79129075137,1105,473.9292228875578
D06,715162.4204398555,582,1228.8014096904735
