Well,Total.Motility,Worm.Area,Normalized.Motility
A01,370120.939901329,2120,174.58534901006084
A02,720962.2341913286,526,1370.6506353447312
A03,255535.00094741012,1340,190.69776190105233
A04,263675.74486628803,1469,179.49335933716
A05,467852.7891378238,1031,453.7854404828553
A06,400822.8334468876,1986,201.82418602562316
B01,454943.018980097,683,666.0951961641244
B02,510537.1207260465,874,584.1385820664148
B03,639968.8061472662,465,1376.277002467239
B04,280018.7540273309,1096,255.49156389355008
B05,565444.7664622781,1302,434.28937516304
B06,490259.85918721027,613,799.7713852972435
C01,305496.9281451837,1710,178.6531743539086
C02,484989.99132493144,1153,420.6331234387957
C03,327021.1275316803,1455,224.7567886815672
C04,673799.1755138196,722,933.2398552822985
C05,351682.32039309456,1422,247.3152745380412
C06,641846.876818687,472,1359.8450780056928
D01,342070.34780149,974,351.2015891185729
D02,289533.46025674,425,681.2552006040941
D03,276247.85496633995,722,382.614757571108
D04,331707.124721503,1026,323.3012911515624
D05,325533.14553902275,1410,230.87457130427146
D06,439350.8044686653,569,772.1455263069688
