Well,Total.Motility,Worm.Area,Normalized.Motility
A01,926784.7813443586,1559,594.4738815550728
A02,903383.9652316688,156,5790.922854049159
A03,1579399.5575926276,1074,1470.5768692668785
A04,455764.5573459564,229,1990.238241685399
A05,664362.1739069492,978,679.3069262852241
A06,850413.13173427,1212,701.6609997807508
B01,653990.2057682703,136,4808.751513001987
B02,785495.0000171331,559,1405.1788909072147
B03,682661.3678959354,1391,490.770214159551
B04,272314.476518489,1362,199.93720742914024
B05,694483.8879652779,1520,456.89729471399863
B06,1970937.4827665626,3131,629.4913710528785
C01,603739.0868574759,251,2405.3350074003024
C02,528234.158073644,644,820.2393758907516
C03,582216.2758587158,1477,394.18840613318605
C04,470085.7582390269,1651,284.7278971768788
C05,409226.59111150174,890,459.80515855224917
C06,989996.5878360285,3723,265.913668502828
D01,719349.3800290799,172,4182.263837378371
D02,903490.9605667571,1032,875.4757369832918
D03,674485.1777007052,1357,497.0413984529884
D04,671115.1003534165,908,739.1135466447319
D05,1112166.4992058857,527,2110.372863768284
D06,1460371.9705747338,384,3803.052006705036
