Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,232234.39355976123,787,295.08817479003966
D0005,303573.52492411743,699,434.2968883034584
D0001,187039.97576350428,1153,162.22027386253623
D0002,228199.2191301943,815,279.999041877539
D0003,262335.1438168753,1868,140.43637249297393
C0005,352542.9030280742,775,454.8940684233215
C0004,272765.48340525327,1626,167.75244981872893
B0001,254744.0263261259,1293,197.01780845021338
B0003,220451.0944790598,867,254.26885176362146
B0002,363071.7710552681,749,484.7420174302645
C0003,281477.737635988,52,5413.033416076692
C0002,157479.7458204619,1146,137.4168811696875
B0005,279640.08844875335,428,653.3646926372742
C0001,180804.08093128097,1955,92.48290584720255
B0004,245483.87820418956,1196,205.25407876604478
A0003,672339.4392874303,455,1477.6690973350117
A0002,184302.68439320373,379,486.2867662089808
A0001,258555.37255700037,579,446.55504759412844
A0005,738154.915972808,1111,664.4058649620234
A0004,654262.3247353636,248,2638.15453522324
