Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,1033553.8791041913,1333,775.3592491404286
D0005,281244.0103158177,1068,263.3370883106908
D0001,928167.9090231229,1389,668.2274363017443
D0002,332712.6983247284,831,400.3762916061714
D0003,708670.5690274274,1230,576.1549341686401
C0005,558877.9967755135,1082,516.5231023803267
C0004,523650.2395335444,1708,306.5867912959862
B0001,295850.42945620616,1751,168.96083920971225
B0003,498921.5146308849,314,1588.922021117468
B0002,538387.0256779146,1028,523.7227876244306
C0003,351596.08381444076,1105,318.1865011895392
C0002,281184.645724506,2015,139.5457298880923
B0005,335941.5145538858,1560,215.34712471402935
C0001,297964.22168725915,1788,166.64665642464158
B0004,473685.4166110795,210,2255.6448410051403
A0003,738054.4823658982,464,1590.6346602713325
A0002,514792.63588542293,354,1454.2164855520423
A0001,368705.0888971463,2632,140.08552009769997
A0005,580020.9543493936,1204,481.74497869550964
A0004,337629.785243768,1319,255.97406007867173
