Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,651057.9504917882,2007,324.3935976541047
D0001,382267.6189340399,1580,241.94153097091132
D0002,509956.83163702604,1195,426.74211852470796
D0003,681732.3755853806,341,1999.2151776697378
C0005,578914.9089292923,1024,565.346590751262
C0004,633986.1357080338,2202,287.91377643416615
B0001,378970.27629712224,1653,229.26211512227601
B0003,775880.8976111008,1577,491.9980327273943
B0002,1048748.5186055764,1087,964.8100447153416
C0003,530232.5252794108,857,618.7077307811094
C0002,320475.4737096663,1755,182.60710752687538
B0005,790304.6651304858,1670,473.2363264254406
C0001,265984.3445407746,1454,182.9328366855396
B0004,698293.2784527834,1073,650.785907225334
A0003,1272551.6618049291,734,1733.7216100884593
A0002,510685.79672353534,1245,410.18939495866294
A0001,562852.6482388227,1952,288.34664356497063
A0005,1423597.4424342697,1083,1314.4944066798428
A0004,1048215.8699583784,1217,861.3113146740989
