Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,269580.9592216602,1505,179.12356094462473
D0005,301312.3164132347,485,621.2625080685251
D0001,148728.9203493305,2536,58.64705061093474
D0002,242090.00511592196,886,273.23928342654847
D0003,514977.2221228676,421,1223.2238055175003
C0005,262887.8232475091,1926,136.49419690940243
C0004,367944.0197631715,1371,268.37638203003024
B0001,291140.9045294958,1489,195.52780693720337
B0003,321860.182215451,1395,230.72414495731252
B0002,426090.56098448473,1529,278.6727017557127
C0003,208913.18565481977,1495,139.74126130757176
C0002,193379.30519262966,1066,181.40647766663196
B0005,377423.29973938526,906,416.5820085423678
C0001,221240.70229516097,1281,172.70936947319356
B0004,347261.7173261548,1315,264.07735157882496
A0003,359724.5509017321,777,462.9659599764892
A0002,336048.1409933644,1333,252.0991305276552
A0001,247131.42646724387,2050,120.55191534987506
A0005,370546.09982839273,1517,244.26242572735183
A0004,390804.6071312499,665,587.6761009492479
