Well,Total.Motility,Worm.Area,Normalized.Motility
D0004,682458.3341344886,1864,366.1257157373866
D0005,489710.87435917545,808,606.0778148009597
D0001,312283.75594926067,1497,208.60638339963972
D0002,271774.08309326036,954,284.87849380844904
D0003,487186.34742878895,243,2004.8820881843167
C0005,712839.0003674685,174,4096.775864180853
C0004,638563.1956222053,1699,375.8464953632756
B0001,347568.8913280835,1060,327.895180498192
B0003,483428.0327884295,1439,335.94720833108374
B0002,853590.6003538148,993,859.6078553412032
C0003,480821.35628875834,1056,455.3232540613242
C0002,255990.7128465661,1306,196.01126557930024
B0005,444916.1852937557,216,2059.797154137758
C0001,222446.2191453734,3363,66.14517369770248
B0004,711973.1990579776,1530,465.34196016861284
A0003,507692.6871422301,810,626.7810952373211
A0002,464647.827961876,1120,414.86413210881784
A0001,630221.0250377677,677,930.9025480616953
A0005,993346.4567467952,1233,805.6337848716912
A0004,963709.2295887144,1028,937.4603400668428
