Well,Total.Motility,Worm.Area,Normalized.Motility
A01,506455.6509367237,1440,351.70531315050255
A02,3709646.049973769,1368,2711.7295686942757
A03,324302.53951557155,1754,184.89312401115825
A04,1544193.1022053268,755,2045.2888770931481
A05,1442758.5952594513,1871,771.1162989093807
A06,612765.9593882627,203,3018.551524080112
B01,1889504.4723192775,790,2391.7778130623765
B02,1313474.7227524247,1070,1227.5464698620792
B03,1841636.4835724651,1465,1257.0897498788158
B04,1953366.416047906,1662,1175.310719643746
B05,1569724.9450604403,1563,1004.3025880105184
B06,3502207.0157670733,971,3606.8043416756677
C01,2112566.50909121,1810,1167.1638171774641
C02,2673764.134078452,1648,1622.4296930087694
C03,1690000.2910758613,2131,793.055040392239
C04,3413544.9373033755,386,8843.380666589055
C05,1393070.754472231,955,1458.7128319080953
C06,4245313.52358449,1614,2630.3057766942316
D01,5603945.842695461,1594,3515.649838579335
D02,439814.62334145117,662,664.3725428118597
D03,2772026.1835273714,1220,2272.152609448665
D04,2554813.287164763,691,3697.2695906870667
D05,3656335.4788693036,1330,2749.124420202484
D06,2771997.583923484,1171,2367.205451685298
