Well,Total.Motility,Worm.Area,Normalized.Motility
A0001,2753809.1251792023,959,2871.5423620221086
A0002,4154164.246631274,805,5160.452480287297
A0003,4749738.04702791,853,5568.2743810409265
A0004,3684602.0950992783,797,4623.0892033867985
A0005,5732042.389839919,666,8606.670255014893
A0006,2368611.60962872,1380,1716.3852243686379
B0001,2005721.4817017256,1433,1399.6660723668706
B0002,1916806.1282292018,2442,784.9328944427525
B0003,2077147.471386077,909,2285.0907275974446
B0004,2240765.167796121,2173,1031.185074917681
B0005,2932822.8039611126,2242,1308.1279232654383
B0006,3068623.4012502017,658,4663.561400076294
C0001,1827714.1576265092,509,3590.7940228418647
C0002,1658778.7909643422,1982,836.9216906984572
C0003,1471037.1645955178,1279,1150.1463366657683
C0004,1974170.1920726083,2799,705.3126802688847
C0005,2830554.051720434,1426,1984.960765582352
C0006,5204284.755637583,1271,4094.6378879918043
D0001,2077083.175949263,1017,2042.3630048665318
D0002,1674578.4558548252,1241,1349.3782883600525
D0003,1480511.0080868697,1750,846.0062903353542
D0004,3014438.8623177116,1746,1726.4827390135806
D0005,2665207.734217546,1773,1503.2192522377586
D0006,5389553.702897456,1587,3396.0640850015475
