Well,Total.Motility,Worm.Area,Normalized.Motility
A0001,3231419.2692108615,1807,1788.2785109080585
A0002,3550202.5744601674,1953,1817.8200586073565
A0003,3250423.2842786126,1941,1674.6127172996457
A0004,4886206.646430045,1942,2516.069333898067
A0005,4764233.735035027,1459,3265.4103735675308
A0006,2546433.6780765424,1018,2501.4083281694916
B0001,3610663.3003589083,1701,2122.6709584708456
B0002,1866171.6775581539,2666,699.9893764284149
B0003,1820159.6204864888,1850,983.8700651278318
B0004,2568517.81737936,2016,1274.0663776683334
B0005,2366450.3979563243,2242,1055.5086520768618
B0006,3033193.7585492237,909,3336.8468190860544
C0001,4367937.9627137575,1303,3352.21639502207
C0002,1372855.8095572025,707,1941.8045396848693
C0003,922317.2520967189,3344,275.81257538777476
C0004,1615459.991091495,2182,740.3574661280911
C0005,2628282.4164794036,2334,1126.0850113450745
C0006,2296260.292975079,2000,1148.1301464875394
D0001,3208272.542128978,1948,1646.9571571503993
D0002,1631601.9949215667,1706,956.3903838930637
D0003,1093016.3944523884,1315,831.1911744885083
D0004,2041649.4529720822,1353,1508.979640038494
D0005,2475143.330867391,1533,1614.5749059800332
D0006,2367562.704922112,954,2481.72191291626
