Well,Total.Motility,Worm.Area,Normalized.Motility
A0001,3165206.3970389618,1781,1777.207409903965
A0002,4028916.4950761334,1216,3313.2536966086623
A0003,2874468.5244129165,1787,1608.5442218315145
A0004,5071058.7910102,1960,2587.274893372551
A0005,4655173.743906262,1722,2703.3529290977135
A0006,2905141.1760993795,1126,2580.0543304612606
B0001,3166397.8404150126,160,19789.986502593827
B0002,2305791.082183604,2433,947.7152002398702
B0003,1384327.701974599,2490,555.9549003914052
B0004,3066916.3869409557,1481,2070.8415847001725
B0005,2274469.9823074904,3443,660.6070236153037
B0006,2693773.691506856,901,2989.7599239809724
C0001,2848624.3309257976,2356,1209.0935190686746
C0002,1589846.7692093595,1656,960.0523968655552
C0003,1287236.0698509638,2844,452.61465184633045
C0004,1904284.6646915737,2180,873.5250755465935
C0005,2468013.949311592,2009,1228.4788199659492
C0006,2412353.8383705565,3012,800.9142889676482
D0001,2830570.331045437,1880,1505.6225165135304
D0002,1551318.3715004753,2625,590.9784272382764
D0003,1586815.9798882487,369,4300.314308640241
D0004,2027454.3018165012,2368,856.1884720508873
D0005,3092349.1004949547,2115,1462.1035936146359
D0006,2771610.932593435,1155,2399.663145102541
