Well,Total.Motility,Worm.Area,Normalized.Motility
A0001,2806492.782998188,1233,2276.149864556519
A0002,3533134.358782917,1868,1891.3995496696557
A0003,3026176.7351892996,1844,1641.0936741807482
A0004,3403740.044196752,1157,2941.866935347236
A0005,3325897.910014023,1541,2158.272491897484
A0006,2548836.35484355,1318,1933.8667335687026
B0001,3832479.5587787824,1205,3180.480961642143
B0002,2356370.5770164453,1554,1516.3259826360652
B0003,1358579.8514560778,2307,588.8946040121707
B0004,1807693.4435039093,2748,657.8214859912333
B0005,1861592.033393232,2052,907.2085932715555
B0006,2878486.1766336816,1451,1983.7947461293463
C0001,4878558.069988032,1541,3165.839110959138
C0002,2135146.1232933193,886,2409.8714709856877
C0003,1175311.0992510405,2125,553.0875761181367
C0004,1683249.7465405574,2371,709.9324110251191
C0005,2072964.7388408268,1437,1442.564188476567
C0006,2513014.732655785,738,3405.169014438733
D0001,4433273.990377273,1365,3247.8197731701634
D0002,2212407.105258704,1993,1110.0888636521345
D0003,1190836.940460456,599,1988.0416368288081
D0004,2263036.191901287,57,39702.38933160153
D0005,2564494.3521932457,2138,1199.4828588368782
D0006,2844091.4279148495,1378,2063.927015903374
