Well,Total.Motility,Worm.Area,Normalized.Motility
A0001,283778.3443933757,136,2086.6054734807035
A0002,180454.42604142858,1031,175.02854126229735
A0003,478424.14647705073,724,660.8068321506225
A0004,779896.0368071381,256,3046.4688937778833
A0005,698083.3179792035,144,4847.800819300024
A0006,454821.1014984697,302,1506.0301374121514
B0001,519462.4455298857,600,865.7707425498095
B0002,290347.15953288693,1126,257.8571576668623
B0003,409980.3182800243,1239,330.8961406618437
B0004,233951.99754150832,4140,56.51014433369766
B0005,399448.98085862875,551,724.9527783278198
B0006,636819.5839929386,646,985.7888297104313
C0001,278841.8747786662,238,1171.6045158767486
C0002,243794.7778125414,1474,165.39672850240257
C0003,212233.24384547299,1984,106.97240113179082
C0004,345686.5364872029,1200,288.07211373933575
C0005,478858.17261307366,1309,365.81984156842907
C0006,574841.7018252707,1365,421.1294518866452
D0001,313756.54504285485,907,345.9278335643383
D0002,561029.708034362,729,769.588076864694
D0003,468444.40819924325,1070,437.79851233574135
D0004,609014.3774327011,477,1276.7597011167736
D0005,689679.7508647004,1237,557.5422399876317
D0006,526112.5482593577,208,2529.387251246912
