Well,Total.Motility,Worm.Area,Normalized.Motility
A0001,1134289.2917479933,307,3694.7533933159393
A0002,644473.7295186246,100,6444.737295186246
A0003,300846.3529144421,105,2865.2033610899243
A0004,1461836.4965510862,794,1841.1038999383957
A0005,1957240.0490949168,1309,1495.2177609586836
A0006,952766.6549649453,908,1049.3024834415696
B0001,1070801.429861336,1332,803.9049773733753
B0002,609645.6485822846,760,802.1653270819534
B0003,500938.14990536566,1694,295.7131935686928
B0004,528451.6337768502,1656,319.1133054208033
B0005,778468.0941240559,1591,489.29484231556
B0006,1212395.281916694,1430,847.8288684732127
C0001,1021331.7733506653,682,1497.5539198690108
C0002,827833.2024621858,2093,395.52470256196165
C0003,582088.4886559543,1220,477.12171201307723
C0004,442802.1406184236,1386,319.48206393825654
C0005,553255.8405774261,1308,422.9784713894695
C0006,789055.2710575797,1106,713.4315289851534
D0001,932153.4043414763,849,1097.9427612973807
D0002,441130.92803364794,1562,282.4141664748066
D0003,462546.9107233962,165,2803.3146104448256
D0004,408078.19471679884,1046,390.1321173200754
D0005,483716.0621217744,421,1148.9692686978015
D0006,831790.7972478464,524,1587.3870176485618
