Well,Total.Motility,Worm.Area,Normalized.Motility
A0001,1021564.9684401448,599,1705.4506985645155
A0002,427412.20110490645,1325,322.57524611691053
A0003,517174.77589146106,502,1030.228637233986
A0004,274543.0489385828,109,2518.743568243879
A0005,435474.3365227671,220,1979.428802376214
A0006,391225.94674434926,157,2491.885011110505
B0001,1384466.214084677,1120,1236.1305482898902
B0002,446458.7046728452,1060,421.1874572385332
B0003,363677.45123303006,109,3336.4903782846795
B0004,619041.1602322751,808,766.1400497924197
B0005,461588.595182221,87,5305.616036577253
B0006,685042.9124783122,1657,413.4236043924636
C0001,385871.8961683498,453,851.8143403274829
C0002,472896.0039516142,936,505.2307734525793
C0003,298789.18562224216,1169,255.59382859045522
C0004,400098.55984158063,1432,279.39843564356187
C0005,462955.784824546,1353,342.16983357320476
C0006,787955.3206110328,1177,669.4607651750491
D0001,586907.7210838615,1162,505.0840973182974
D0002,695573.5566671345,256,2717.084205730994
D0003,468044.0712491075,1236,378.6764330494397
D0004,367013.908270999,277,1324.959957657036
D0005,672079.7011478158,59,11391.181375386708
D0006,553138.8677394649,556,994.8540786681023
