Well,Total.Motility,Worm.Area,Normalized.Motility
A0001,1049592.4784018078,1011,1038.1725800215706
A0002,718022.923508737,344,2087.275940432375
A0003,945028.5136099093,368,2568.0122652443188
A0004,1255106.4902058293,495,2535.5686670824834
A0005,1155608.688846245,427,2706.3435335977633
A0006,961227.7591626717,772,1245.1136776718547
B0001,1231274.5783229652,905,1360.5243959369782
B0002,377419.9244907027,75,5032.265659876036
B0003,491278.6905347851,1502,327.0830163347437
B0004,624068.1865871041,1078,578.9129745705975
B0005,521453.6807285154,70,7449.338296121648
B0006,1173734.1517114975,729,1610.0605647619993
C0001,576532.0686501148,1167,494.0291933591387
C0002,723924.4069556781,1638,441.9562924027339
C0003,598181.1934383445,834,717.2436372162405
C0004,433194.83755336003,1702,254.52105614180965
C0005,575801.1367739213,1061,542.6966416342331
C0006,696567.7146319433,308,2261.5834890647507
D0001,752502.082837516,719,1046.5953864221362
D0002,484168.10767913016,1951,248.16407364383915
D0003,366774.33986413386,1513,242.4152940278479
D0004,522950.1377884875,1650,316.93947744756815
D0005,522866.68912296684,100,5228.666891229668
D0006,870636.7909513797,275,3165.951967095926
